fid,id,sub_name,xcoord,ycoord
"1",,s1s1,142.018489864111,-29.3826629770835
"2",,s1s2,142.018467839613,-29.3827054781994
"3",,s1s3,142.018443645668,-29.3827460022302
"4",,s1s4,142.018422426969,-29.3827897741831
"5",,s1s5,142.018397792776,-29.3828309393603
"6",,s1s6,142.01837281326,-29.3828691914962
"7",,s1s7,142.018349890417,-29.3829102575063
"8",,s1s8,142.018326420349,-29.3829512397926
"9",,s1s9,142.018301884904,-29.3829917480943
"10",,s1s10,142.018276833795,-29.3830332220547
"11",,s1s11,142.018252837481,-29.3830739596615
"12",,s1s12,142.018229422805,-29.383115923484
"13",,s1s13,142.018203074558,-29.3831579103404
"14",,s1s14,142.018181058845,-29.3832026353977
"15",,s2s1,142.016839201073,-29.3843476217061
"16",,s2s2,142.016800008642,-29.3843831419073
"17",,s3s3,142.016767854741,-29.3844150377333
"18",,s2s4,142.016735284195,-29.3844550343352
"19",,s2s5,142.016688613022,-29.3844892124439
"20",,s2s6,142.016652528497,-29.3845298845638
"21",,s3s1,142.006433416896,-29.3879404462717
"22",,s3s2,142.006439085172,-29.3879879720312
"23",,s3s3,142.006447378385,-29.3880373872153
"24",,s3s4,142.00645291875,-29.3880866195877
"25",,s3s5,142.006458306319,-29.3881345066107
"26",,s3s6,142.006467945531,-29.388202980278
"27",,s3s7,142.006479883746,-29.3882948045545
"28",,s3s8,142.006491035761,-29.3883637632456
"29",,s3s9,142.006493566808,-29.388411249994
"30",,,142.006502336113,-29.3884814911187
"31",,s3s10,142.006514712893,-29.3885751047352
"32",,s3s12,142.006533022437,-29.3887283109666
"33",,s4s1,142.005661883614,-29.3882158257175
"34",,s4s2,142.005644422892,-29.3881022849326
"35",,s4s3,142.005629114789,-29.388009578742
"36",,s4s4,142.00561588254,-29.3879198280881
"37",,s4s5,142.00560197432,-29.3878298739574
"38",,s3s6,142.005586458513,-29.3877372415856
"39",,s4s7,142.005566761504,-29.387599385753
"40",,s4s9,142.005546239889,-29.3874602372317
"41",,s6s1,142.018344548246,-29.3853335477936
"42",,s6s2,142.018372033796,-29.3853750378157
"43",,s6s3,142.018402015602,-29.3854126906615
"44",,s6s4,142.018430663952,-29.385452056593
"45",,s6s5,142.018456369622,-29.3854930851167
"46",,s6s6,142.018487591342,-29.3855314238699
"47",,s6s7,142.018523677973,-29.3855853947379
"48",,,142.018569450299,-29.3856463327529
"49",,s5s1,142.019189084228,-29.3849237768676
"50",,s5s2,142.019208156018,-29.3849694616767
"51",,s5s3,142.01922985568,-29.3850139106713
"52",,s5s4,142.019251091115,-29.3850599106976
"53",,s5s5,142.019274530907,-29.385102057596
"54",,s5s6,142.019290045327,-29.385149229112
"55",,s5s7,142.019313484845,-29.3851934190986
"56",,s5s8,142.01933118863,-29.3852394374211
"57",,s5s10,142.019366525995,-29.3853050795779
"58",,s4s9,142.005527589793,-29.3873452605758
