Site,Water,tree_number,wood_length,wood_thickness,wood_mass
Gunda,Shed,1,28.5,6.51,772.6
Gunda,Shed,2,42.54,6.97,1410.2
Gunda,Shed,3,37.98,4.04,406.3
Gunda,Shed,4,22.77,5.48,440.2
Gunda,Shed,5,26.68,4.26,364.2
Gunda,Shed,6,42.38,5.16,741
Gunda,Shed,7,46.5,5.67,986.2
Gunda,Shed,8,39.17,5.88,961.6
Gunda,Shed,9,28.15,5.65,569.9
Gunda,Shed,10,30.73,5.57,622.3
Gunda,Shed,11,37.81,6.06,1056.5
Gunda,Shed,12,33.92,7.04,1207
Gunda,Shed,13,32.77,6.98,1086.8
Gunda,Shed,14,30.69,5.48,401.7
Gunda,Shed,15,27.22,5.37,517.5
Gunda,Acc,16,31.17,6.09,807.1
Gunda,Acc,17,27.14,5.24,523
Gunda,Acc,18,36.85,6.23,636.8
Gunda,Acc,19,37.23,5.51,797.3
Gunda,Acc,20,25.68,7.28,1045.5
Gunda,Acc,21,41.29,5.88,1147.8
Gunda,Acc,22,28.83,4.93,511.4
Gunda,Acc,23,28.98,4.45,431.9
Gunda,Acc,24,31.72,4.71,593.6
Gunda,Acc,25,27.31,6.05,769.8
Gunda,Acc,26,37.58,8.38,1473
