Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,site,station_ID
1998,null,null,null,null,null,null,null,null,null,null,null,1,null,gunda,B.airport
1999,51.6,12,37.4,80.2,31.4,5.4,20.2,16.2,14.8,38.8,86.4,152,546.4,gunda,B.airport
2000,0.6,28,189.6,72,109.4,8.6,null,22.6,0.4,57.6,158.4,4,null,gunda,B.airport
2001,14.6,30.8,19,0.8,15.6,54.6,5.8,3,9.6,33.6,32.4,1.4,221.2,gunda,B.airport
2002,0.4,31.8,11.2,17,0.2,6,0.8,2.2,11.8,0,0.6,4.4,86.4,gunda,B.airport
2003,8.2,36.8,20.8,48.4,6,12.6,19.4,37.4,1,20.2,29.2,0.2,240.2,gunda,B.airport
2004,19.6,16.2,20,58.6,14.8,26,28.2,15.8,6.2,17.4,30.8,44.2,297.8,gunda,B.airport
2005,4.4,0.2,1,0,0.4,86,0.2,22,44.8,5,9,0,173,gunda,B.airport
2006,8.6,7.4,13.2,0.8,0,27,38.4,5.6,4.8,1.8,0,15.2,122.8,gunda,B.airport
2007,10.8,10.8,48.8,20.8,92.2,6.2,0.2,1.8,0,20.8,33,12.4,257.8,gunda,B.airport
2008,60.6,28.4,8.4,0,4.8,52.6,2.6,14.8,17.6,1.4,31.6,20.4,243.2,gunda,B.airport
2009,31,231.2,15.2,4.8,19.4,40.8,16,1,21.8,19.8,3.4,60.4,464.8,gunda,B.airport
2010,40.2,33.2,42.2,60.6,8,10.4,13.4,9.8,31.8,96.4,85.6,195.2,626.8,gunda,B.airport
2011,43.2,48.8,36.2,7.6,null,4.6,17.8,5.8,54,2.4,54.6,89.8,null,gunda,B.airport
2012,133,40.4,126.4,0.4,14.6,23.8,21,0,21.4,3,50.6,0,434.6,gunda,B.airport
2013,12,3.6,21.2,0.6,26.4,33.2,11.2,2.6,6.2,0.8,5.2,9,132,gunda,B.airport
2014,26.4,59.8,60.6,48,3.8,21.8,5.4,33.2,17,11.6,5.8,51.6,345,gunda,B.airport
2015,35,2.6,23.2,8.2,35,110.8,18.8,8,0.2,6.6,61.8,7.8,318,gunda,B.airport
2016,68.4,0,1.6,1.6,57.6,80.2,22.8,23.4,88.2,29.6,0.6,14.6,388.6,gunda,B.airport
2017,26.6,0,50.6,9.6,10,15,1.8,10,1.4,83.6,49.4,39.2,297.2,gunda,B.airport
2018,26.2,6.6,16.4,8.4,11,25.2,0.2,25.2,1,37.6,38.6,8.6,205,gunda,B.airport
2019,14.4,0.4,9.6,36,31.6,0.8,16,0,0,6.4,95.4,0,210.6,gunda,B.airport
2020,29.2,30.2,83,49.6,1,6.8,6,33,20,25,8.6,47.4,339.8,gunda,B.airport
2021,29.2,101,91.4,0.4,7.2,21.4,6.2,7.6,60.8,5.8,130.8,35.4,497.2,gunda,B.airport
2022,70.2,10.6,20.4,32,null,null,null,null,null,null,null,null,null,gunda,B.airport
2006,18.3,0,42.7,0,0,41.1,45.2,12.7,null,4.1,11.2,null,null,gunda,G.station
2007,40.6,19.1,9.7,15.2,55.9,0,0,5.6,0,null,null,154.3,null,gunda,G.station
2008,80.3,77.2,null,0,null,null,0,11.2,8.8,9.4,40.3,34.6,null,gunda,G.station
2009,0,123.8,8.6,8.5,61.6,34.3,15.8,1.3,19.8,13.7,7.3,14.4,309.1,gunda,G.station
2010,21,129.7,31,43.9,7,16.6,52.6,12.8,30.9,156.4,149.2,46.4,697.5,gunda,G.station
2011,29.8,85.4,21,14.4,17.5,0,23.2,7.5,47,3,101.6,49.4,399.8,gunda,G.station
2012,128,24,56,0,5,43.4,16,0,null,0,38.5,0,null,gunda,G.station
2013,6,9,16,0,47,19,22,0,22,0,1,0,142,gunda,G.station
2014,15.4,43.8,99.2,8.4,10.4,22,7,36.5,14.4,0,13.4,35.2,305.7,gunda,G.station
2015,84.5,7,0,11,48,37,26,12,0,0,45.6,14,285.1,gunda,G.station
2016,8.5,0,3,null,92,64.6,19.4,27.2,63.4,11.6,0,23,null,gunda,G.station
2017,20,0,33.2,10,null,13.2,1.6,null,2.8,51.4,null,1,null,gunda,G.station
2018,6.4,0,6.2,10.2,1,14.4,0,13,1.4,35.5,59.2,0,147.3,gunda,G.station
2019,24.4,15.8,28.4,85,17,null,11,0,0,4,23.2,0,null,gunda,G.station
2020,4.2,3,77.8,36.4,8,14,13,37,null,33.5,10.4,29,null,gunda,G.station
2021,33,56.4,67.9,0,5,36.2,5,2,11,14,75.8,null,null,gunda,G.station
2022,57.2,65,34,null,null,null,null,null,null,null,null,null,null,gunda,G.station
