rainfall,landform,tree_number,wood_length,wood_thickness,wood_mass
high,shed,1,28.5,6.51,772.6
high,shed,2,42.54,6.97,1410.2
high,shed,3,37.98,4.04,406.3
high,shed,4,22.77,5.48,440.2
high,shed,5,26.68,4.26,364.2
high,shed,6,42.38,5.16,741
high,shed,7,46.5,5.67,986.2
high,shed,8,39.17,5.88,961.6
high,shed,9,28.15,5.65,569.9
high,shed,10,30.73,5.57,622.3
high,shed,11,37.81,6.06,1056.5
high,shed,12,33.92,7.04,1207
high,shed,13,32.77,6.98,1086.8
high,shed,14,30.69,5.48,401.7
high,shed,15,27.22,5.37,517.5
high,acc,16,31.17,6.09,807.1
high,acc,17,27.14,5.24,523
high,acc,18,36.85,6.23,636.8
high,acc,19,37.23,5.51,797.3
high,acc,20,25.68,7.28,1045.5
high,acc,21,41.29,5.88,1147.8
high,acc,22,28.83,4.93,511.4
high,acc,23,28.98,4.45,431.9
high,acc,24,31.72,4.71,593.6
high,acc,25,27.31,6.05,769.8
high,acc,26,37.58,8.38,1473
moderate,acc,1,29.47,5.15,780
moderate,acc,2,20.89,5.65,462
moderate,acc,4,31.86,6.3,787.4
moderate,acc,5,32.66,7.82,1156
moderate,acc,7,48.49,4.39,636.2
moderate,acc,8,35.33,7.09,1185.1
moderate,acc,9,32.03,6.2,830.3
moderate,acc,10,30.48,5.95,617.4
moderate,acc,11,28.6,6.32,724.7
moderate,acc,12,37.09,8.47,1715.6
moderate,acc,13,33.88,6.69,932.2
moderate,acc,14,33.82,5.6,694.5
moderate,acc,16,38.11,5.31,738
moderate,acc,18,40.68,4.47,563.5
moderate,shed,1,34.1,6.48,879.2
moderate,shed,2,25.42,5.94,647.7
moderate,shed,3,29.69,7.32,1136.1
moderate,shed,4,35.82,5.27,679.9
moderate,shed,6,28.08,6.21,812.1
moderate,shed,8,29.33,4.96,482.8
moderate,shed,11,50.76,7.02,1510.2
moderate,shed,12,32.6,4.93,513.8
moderate,shed,13,27.82,6.67,739.1
moderate,shed,15,36.18,6.32,1021.1
moderate,shed,17,30.93,6.33,938.8
moderate,shed,19,41.59,6.91,1127.8
low,acc,1,39.37,6.33,1080.7
low,acc,2,27.25,6.18,691.2
low,acc,3,36.31,7.27,1183.5
low,acc,4,23.12,4.88,439.3
low,acc,7,34.26,6.41,936.3
low,acc,8,23.18,6.11,622.5
low,acc,9,28.77,5.49,645.6
low,acc,10,30.61,6.15,824.7
low,acc,11,33.3,7.1,1248.7
low,acc,12,38.64,6.56,1074.8
low,acc,13,39.87,5.94,885.5
low,acc,14,32.13,5.47,671.9
low,acc,15,40.15,6,1053.6
low,shed,1,32.47,8.85,1634.8
low,shed,2,48.94,5.46,763.6
low,shed,3,44.06,5.27,870.3
low,shed,4,40.17,7.44,1734.4
low,shed,5,40.01,4.99,724.3
low,shed,6,35.64,6.41,1092.1
low,shed,7,36.2,6.65,1209.4
low,shed,8,36.65,4.75,648.4
low,shed,9,34.74,7.17,1288.1
low,shed,10,35.37,5.9,882.1
low,shed,11,32.83,6.15,777.7
low,shed,12,40.43,7.43,1546.5
low,shed,13,30.54,8.37,1309
low,shed,14,37.6,5.84,928.8
low,shed,15,32.61,6.41,822.6
